Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Labels,Reporter,Assignee,Status,Fix Version
Epic,Système de gestion des utilisateurs,"En tant qu'équipe produit, nous voulons un système complet de gestion des utilisateurs permettant l'authentification, l'autorisation et la gestion des profils pour sécuriser et personnaliser l'expérience utilisateur.",Système de gestion des utilisateurs,,,,"authentication,user-management,security",Chef de Projet,,To Do,v1.0
Epic,Tableau de bord et visualisation,"En tant qu'équipe produit, nous voulons un tableau de bord interactif et des visualisations avancées pour permettre aux utilisateurs de suivre leurs métriques agiles et de prendre des décisions éclairées.",Tableau de bord et visualisation,,,,"dashboard,analytics,visualization",Chef de Projet,,To Do,v1.0
Epic,Gestion des projets Agile,"En tant qu'équipe produit, nous voulons des fonctionnalités complètes de gestion de projets agiles incluant les backlogs, sprints, et cérémonies pour supporter les méthodologies Scrum et Kanban.",Gestion des projets Agile,,,,"agile,scrum,kanban,project-management",Chef de Projet,,To Do,v1.0
Epic,Collaboration et communication,"En tant qu'équipe produit, nous voulons des outils de collaboration en temps réel pour faciliter la communication entre les membres de l'équipe et améliorer la transparence du projet.",Collaboration et communication,,,,"collaboration,communication,real-time",Chef de Projet,,To Do,v2.0
Story,Inscription utilisateur avec email,"En tant que nouvel utilisateur, je veux pouvoir créer un compte avec mon adresse email et un mot de passe pour accéder à la plateforme.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,High,5,"authentication,registration",Product Owner,Développeur 1,To Do,v1.0
Story,Connexion avec identifiants,"En tant qu'utilisateur enregistré, je veux pouvoir me connecter avec mon email et mot de passe pour accéder à mon compte.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,High,3,"authentication,login",Product Owner,Développeur 1,To Do,v1.0
Story,Authentification OAuth2 (Google),"En tant qu'utilisateur, je veux pouvoir me connecter via mon compte Google pour simplifier le processus d'authentification.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,Medium,8,"authentication,oauth,google",Product Owner,Développeur 2,To Do,v1.0
Story,Réinitialisation du mot de passe,"En tant qu'utilisateur, je veux pouvoir réinitialiser mon mot de passe par email si je l'oublie pour récupérer l'accès à mon compte.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,Medium,5,"authentication,password-reset",Product Owner,Développeur 1,To Do,v1.0
Story,Gestion des rôles utilisateur,"En tant qu'administrateur, je veux pouvoir assigner des rôles (Admin, Scrum Master, Product Owner, Développeur) aux utilisateurs pour gérer les permissions.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,High,8,"authorization,roles",Product Owner,Développeur 2,To Do,v1.0
Story,Profil utilisateur éditable,"En tant qu'utilisateur, je veux pouvoir modifier mes informations de profil (nom, photo, bio) pour personnaliser mon compte.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,Low,3,"profile,user-management",Product Owner,Développeur 3,To Do,v1.0
Story,Authentification à deux facteurs (2FA),"En tant qu'utilisateur soucieux de la sécurité, je veux activer l'authentification à deux facteurs pour renforcer la sécurité de mon compte.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,Medium,8,"security,2fa,authentication",Product Owner,Développeur 2,In Progress,v1.0
Story,Déconnexion automatique après inactivité,"En tant qu'utilisateur, je veux être automatiquement déconnecté après 30 minutes d'inactivité pour protéger mes données.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,Low,5,"security,session",Product Owner,Développeur 3,To Do,v1.0
Story,Gestion des tokens JWT,"En tant que système, je veux utiliser des tokens JWT pour l'authentification stateless et sécuriser les API.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,High,5,"security,jwt,api",Product Owner,Développeur 1,To Do,v1.0
Story,Historique des connexions,"En tant qu'utilisateur, je veux voir l'historique de mes connexions (date, IP, appareil) pour surveiller l'activité de mon compte.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,Low,3,"security,audit,user-management",Product Owner,Développeur 3,To Do,v2.0
Story,Dashboard principal personnalisable,"En tant qu'utilisateur, je veux voir un tableau de bord personnalisable affichant mes projets, tâches et métriques clés pour avoir une vue d'ensemble rapide.",Tableau de bord et visualisation,Tableau de bord et visualisation,High,8,"dashboard,ui,personalization",Product Owner,Développeur 4,To Do,v1.0
Story,Widget vélocité de sprint,"En tant que Scrum Master, je veux voir un widget affichant la vélocité des sprints pour suivre la performance de l'équipe.",Tableau de bord et visualisation,Tableau de bord et visualisation,High,5,"dashboard,metrics,scrum",Product Owner,Développeur 4,To Do,v1.0
Story,Graphique Burndown Chart,"En tant que Product Owner, je veux visualiser un burndown chart pour suivre l'avancement du sprint en temps réel.",Tableau de bord et visualisation,Tableau de bord et visualisation,High,8,"dashboard,charts,scrum,burndown",Product Owner,Développeur 5,In Progress,v1.0
Story,Graphique Cumulative Flow,"En tant que manager, je veux voir un Cumulative Flow Diagram pour analyser le flux de travail et identifier les goulots d'étranglement.",Tableau de bord et visualisation,Tableau de bord et visualisation,Medium,8,"dashboard,charts,kanban,flow",Product Owner,Développeur 5,To Do,v1.0
Story,Rapport de productivité d'équipe,"En tant que Scrum Master, je veux générer des rapports de productivité par membre d'équipe pour identifier les besoins de support.",Tableau de bord et visualisation,Tableau de bord et visualisation,Medium,5,"dashboard,reports,analytics",Product Owner,Développeur 4,To Do,v1.0
Story,Export des rapports en PDF,"En tant qu'utilisateur, je veux exporter les rapports et graphiques en PDF pour les partager avec les stakeholders.",Tableau de bord et visualisation,Tableau de bord et visualisation,Low,5,"dashboard,export,pdf",Product Owner,Développeur 6,To Do,v2.0
Story,Notifications temps réel sur dashboard,"En tant qu'utilisateur, je veux recevoir des notifications en temps réel sur le dashboard pour rester informé des changements importants.",Tableau de bord et visualisation,Tableau de bord et visualisation,Medium,8,"dashboard,notifications,real-time",Product Owner,Développeur 6,To Do,v1.0
Story,Filtres avancés pour graphiques,"En tant qu'utilisateur, je veux appliquer des filtres (date, équipe, projet, sprint) sur les graphiques pour analyser des données spécifiques.",Tableau de bord et visualisation,Tableau de bord et visualisation,Medium,5,"dashboard,filters,analytics",Product Owner,Développeur 5,To Do,v1.0
Story,Widget des tâches en retard,"En tant que Scrum Master, je veux voir un widget listant les tâches en retard pour intervenir rapidement.",Tableau de bord et visualisation,Tableau de bord et visualisation,High,3,"dashboard,monitoring,alerts",Product Owner,Développeur 4,To Do,v1.0
Story,Comparaison de sprints,"En tant que Product Owner, je veux comparer les métriques de différents sprints pour identifier les tendances d'amélioration.",Tableau de bord et visualisation,Tableau de bord et visualisation,Low,5,"dashboard,analytics,comparison",Product Owner,Développeur 5,To Do,v2.0
Story,Création de projet Scrum,"En tant que Product Owner, je veux créer un nouveau projet Scrum avec un nom, description et équipe assignée pour démarrer le développement.",Gestion des projets Agile,Gestion des projets Agile,High,5,"project-management,scrum,creation",Product Owner,Développeur 7,To Do,v1.0
Story,Création de projet Kanban,"En tant que manager, je veux créer un nouveau projet Kanban avec des colonnes personnalisables pour gérer le flux de travail.",Gestion des projets Agile,Gestion des projets Agile,High,5,"project-management,kanban,creation",Product Owner,Développeur 7,To Do,v1.0
Story,Gestion du Product Backlog,"En tant que Product Owner, je veux créer, prioriser et organiser les User Stories dans le Product Backlog pour planifier les futurs sprints.",Gestion des projets Agile,Gestion des projets Agile,High,8,"scrum,backlog,user-stories",Product Owner,Développeur 8,In Progress,v1.0
Story,Estimation avec Planning Poker,"En tant qu'équipe, nous voulons utiliser le Planning Poker pour estimer collectivement la complexité des User Stories.",Gestion des projets Agile,Gestion des projets Agile,Medium,8,"scrum,estimation,planning-poker",Product Owner,Développeur 8,To Do,v1.0
Story,Création et gestion de sprints,"En tant que Scrum Master, je veux créer des sprints avec une durée définie et y assigner des User Stories pour organiser le travail.",Gestion des projets Agile,Gestion des projets Agile,High,8,"scrum,sprint,planning",Product Owner,Développeur 7,To Do,v1.0
Story,Sprint Backlog interactif,"En tant que développeur, je veux voir et gérer le Sprint Backlog avec glisser-déposer pour organiser mes tâches quotidiennes.",Gestion des projets Agile,Gestion des projets Agile,High,5,"scrum,sprint,backlog,ui",Product Owner,Développeur 9,To Do,v1.0
Story,Daily Scrum virtuel,"En tant que Scrum Master, je veux organiser un Daily Scrum virtuel avec un chronomètre et des questions guidées pour structurer la réunion.",Gestion des projets Agile,Gestion des projets Agile,Medium,8,"scrum,daily-standup,collaboration",Product Owner,Développeur 9,To Do,v2.0
Story,Sprint Review avec démo,"En tant que Product Owner, je veux organiser une Sprint Review avec présentation des incréments pour valider le travail accompli.",Gestion des projets Agile,Gestion des projets Agile,Medium,5,"scrum,sprint-review,demo",Product Owner,Développeur 8,To Do,v2.0
Story,Rétrospective de sprint,"En tant que Scrum Master, je veux faciliter une rétrospective avec collecte de feedbacks (Start/Stop/Continue) pour améliorer le processus.",Gestion des projets Agile,Gestion des projets Agile,Medium,5,"scrum,retrospective,improvement",Product Owner,Développeur 9,To Do,v2.0
Story,Tableau Kanban avec WIP limits,"En tant que manager, je veux configurer des limites WIP sur les colonnes Kanban pour optimiser le flux de travail.",Gestion des projets Agile,Gestion des projets Agile,High,5,"kanban,wip,workflow",Product Owner,Développeur 10,To Do,v1.0
Story,Gestion des Epics,"En tant que Product Owner, je veux créer et gérer des Epics regroupant plusieurs User Stories pour organiser les grandes fonctionnalités.",Gestion des projets Agile,Gestion des projets Agile,High,5,"epic,backlog,organization",Product Owner,Développeur 7,To Do,v1.0
Story,Définition of Done (DoD),"En tant que Scrum Master, je veux définir une Definition of Done par projet pour garantir la qualité des livrables.",Gestion des projets Agile,Gestion des projets Agile,Medium,3,"scrum,quality,dod",Product Owner,Développeur 8,To Do,v1.0
Story,Gestion des dépendances entre tâches,"En tant que développeur, je veux marquer les dépendances entre User Stories pour identifier les bloqueurs potentiels.",Gestion des projets Agile,Gestion des projets Agile,Medium,8,"dependencies,planning,workflow",Product Owner,Développeur 10,To Do,v2.0
Story,Chat d'équipe intégré,"En tant que membre d'équipe, je veux communiquer avec mes coéquipiers via un chat intégré pour échanger rapidement sur les tâches.",Collaboration et communication,Collaboration et communication,High,8,"chat,communication,real-time",Product Owner,Développeur 11,To Do,v2.0
Story,Commentaires sur User Stories,"En tant que membre d'équipe, je veux ajouter des commentaires sur les User Stories pour partager des informations et poser des questions.",Collaboration et communication,Collaboration et communication,High,3,"comments,collaboration,discussion",Product Owner,Développeur 11,To Do,v1.0
Story,Mentions et notifications,"En tant qu'utilisateur, je veux mentionner des collègues (@nom) dans les commentaires pour attirer leur attention et recevoir des notifications.",Collaboration et communication,Collaboration et communication,Medium,5,"notifications,mentions,collaboration",Product Owner,Développeur 12,To Do,v2.0
Story,Partage de fichiers,"En tant qu'utilisateur, je veux joindre des fichiers (images, documents, mockups) aux User Stories pour partager des ressources.",Collaboration et communication,Collaboration et communication,Medium,5,"file-upload,attachments,collaboration",Product Owner,Développeur 12,To Do,v2.0
Story,Tableau blanc virtuel,"En tant que Scrum Master, je veux utiliser un tableau blanc virtuel collaboratif pour faciliter les sessions de brainstorming et planning.",Collaboration et communication,Collaboration et communication,Low,13,"whiteboard,collaboration,brainstorming",Product Owner,Développeur 13,To Do,v2.0
Story,Vidéoconférence intégrée,"En tant que membre d'équipe distante, je veux lancer des visioconférences directement depuis la plateforme pour les réunions agiles.",Collaboration et communication,Collaboration et communication,Medium,13,"video,communication,remote",Product Owner,Développeur 13,To Do,v2.0
Story,Historique des modifications,"En tant qu'utilisateur, je veux consulter l'historique complet des modifications sur les User Stories pour suivre l'évolution du travail.",Collaboration et communication,Collaboration et communication,Low,5,"audit,history,tracking",Product Owner,Développeur 11,To Do,v2.0
Bug,Erreur 500 lors de la connexion avec mot de passe spéciaux,"Lorsqu'un utilisateur tente de se connecter avec un mot de passe contenant des caractères spéciaux (&, <, >), le serveur retourne une erreur 500 Internal Server Error. Impact: Les utilisateurs ne peuvent pas se connecter.",Système de gestion des utilisateurs,Système de gestion des utilisateurs,Critical,,"bug,authentication,security,blocker",QA Tester,Développeur 1,To Do,v1.0
Bug,Dashboard ne se charge pas sur Safari,"Le tableau de bord principal ne s'affiche pas correctement sur le navigateur Safari (versions 15+). Les widgets restent en état de chargement infini. Impact: Utilisateurs Safari ne peuvent pas accéder au dashboard.",Tableau de bord et visualisation,Tableau de bord et visualisation,High,,"bug,dashboard,ui,browser-compatibility",QA Tester,Développeur 4,In Progress,v1.0
Bug,Burndown chart affiche des valeurs négatives,"Dans certains sprints, le Burndown Chart affiche des valeurs négatives de travail restant lorsque des tâches sont ajoutées en cours de sprint. Impact: Métriques incorrectes, confusion pour l'équipe.",Tableau de bord et visualisation,Tableau de bord et visualisation,High,,"bug,charts,burndown,calculation",QA Tester,Développeur 5,To Do,v1.0
Bug,Les User Stories disparaissent après glisser-déposer,"Lors du glisser-déposer d'une User Story du backlog vers un sprint, la story disparaît parfois sans être assignée. Impact: Perte de données, nécessite recréation manuelle.",Gestion des projets Agile,Gestion des projets Agile,Critical,,"bug,ui,drag-drop,data-loss,blocker",QA Tester,Développeur 7,To Do,v1.0
Bug,Limite WIP Kanban non respectée,"Les limites WIP configurées sur les colonnes Kanban ne sont pas appliquées : les utilisateurs peuvent déplacer plus de tâches que la limite autorisée. Impact: Le système ne respecte pas les contraintes méthodologiques.",Gestion des projets Agile,Gestion des projets Agile,Medium,,"bug,kanban,wip,business-logic",QA Tester,Développeur 10,To Do,v1.0
